"message_datetime";"route";"run";"vehicle";"latitude";"longitude";"position";"cnt";"month";"day"
"2017-09-22 08:22:00";"504";"20";"4084";"43.673817";"-79.356636";"0101000020E6100000E124CD1FD3D653C0923EADA23FD64540";"2";"9";"5"
"2017-09-14 09:22:20";"504";"35";"4100";"43.664932";"-79.662430";"0101000020E6100000EA78CC4065EA53C02D08E57D1CD54540";"2";"9";"4"
"2017-09-25 09:13:00";"512";"18";"4419";"43.674702";"-79.458000";"0101000020E61000005A643BDF4FDD53C0DD4598A25CD64540";"2";"9";"1"
"2017-09-13 09:50:20";"504";"11";"4125";"43.667866";"-79.353333";"0101000020E61000003FE603029DD653C01F0E12A27CD54540";"2";"9";"3"
"2017-09-13 09:50:20";"504";"30";"4125";"43.668083";"-79.353233";"0101000020E61000008DB7955E9BD653C0BD0166BE83D54540";"2";"9";"3"
"2017-09-25 09:21:20";"512";"2";"4125";"43.677319";"-79.445847";"0101000020E61000004301DBC188DC53C0CEFA9463B2D64540";"2";"9";"1"
"2017-09-25 09:21:20";"512";"7";"4125";"43.677216";"-79.446320";"0101000020E61000003FE3C28190DC53C0FA298E03AFD64540";"2";"9";"1"
"2017-09-08 09:52:00";"504";"20";"4127";"43.648300";"-79.404015";"0101000020E6100000FB05BB61DBD953C097FF907EFBD24540";"2";"9";"5"
"2017-09-08 09:52:00";"501";"13";"4127";"43.648266";"-79.404015";"0101000020E6100000FB05BB61DBD953C0EB8D5A61FAD24540";"2";"9";"5"
"2017-09-06 09:21:40";"512";"11";"4134";"43.688648";"-79.391617";"0101000020E6100000B0E3BF4010D953C0583A1F9E25D84540";"2";"9";"3"
"2017-09-14 09:01:20";"501";"18";"4237";"43.664749";"-79.322685";"0101000020E61000003A7AFCDEA6D453C03C86C77E16D54540";"2";"9";"4"
"2017-09-27 09:14:20";"501";"40";"8019";"43.598099";"-79.517166";"0101000020E61000009A266C3F19E153C099620E828ECC4540";"2";"9";"3"
"2017-09-27 09:41:20";"501";"46";"7944";"43.598099";"-79.517136";"0101000020E610000064E597C118E153C099620E828ECC4540";"2";"9";"3"
"2017-09-15 09:06:40";"504";"15";"4034";"43.677017";"-79.358498";"0101000020E61000009C6B98A1F1D653C003EB387EA8D64540";"2";"9";"5"
"2017-09-15 09:06:40";"504";"28";"4034";"43.677017";"-79.358498";"0101000020E61000009C6B98A1F1D653C003EB387EA8D64540";"2";"9";"5"
"2017-09-19 09:50:00";"501";"17";"4225";"43.638500";"-79.446999";"0101000020E61000001096B1A19BDC53C07D3F355EBAD14540";"2";"9";"2"
"2017-09-27 09:40:20";"504";"35";"4149";"43.659035";"-79.349899";"0101000020E6100000CC79C6BE64D653C0AEF545425BD44540";"2";"9";"3"
"2017-09-26 09:51:40";"512";"13";"4043";"43.682068";"-79.423965";"0101000020E61000008369183E22DB53C0F6D214014ED74540";"2";"9";"2"
"2017-09-26 09:51:40";"512";"7";"4043";"43.682098";"-79.423813";"0101000020E6100000A8A78FC01FDB53C06155BDFC4ED74540";"2";"9";"2"
"2017-09-27 09:40:20";"504";"7";"4149";"43.658916";"-79.349884";"0101000020E61000003259DC7F64D653C0D367075C57D44540";"2";"9";"3"
"2017-09-19 09:50:00";"501";"22";"4225";"43.638550";"-79.447632";"0101000020E61000002829B000A6DC53C02F6EA301BCD14540";"2";"9";"2"
"2017-09-14 09:42:20";"511";"1";"8311";"43.666534";"-79.411346";"0101000020E6100000C9552C7E53DA53C006D671FC50D54540";"2";"9";"4"
"2017-09-11 09:22:00";"504";"5";"4156";"43.657951";"-79.354134";"0101000020E6100000B519A721AAD653C06CAF05BD37D44540";"2";"9";"1"
"2017-09-11 09:32:00";"512";"16";"4437";"43.674332";"-79.459450";"0101000020E61000006C09F9A067DD53C0B952CF8250D64540";"2";"9";"1"
"2017-09-11 09:32:00";"512";"8";"4437";"43.674332";"-79.459450";"0101000020E61000006C09F9A067DD53C0B952CF8250D64540";"2";"9";"1"
"2017-09-19 09:08:00";"512";"22";"4087";"43.677883";"-79.443520";"0101000020E6100000CEC7B5A162DC53C0D7C1C1DEC4D64540";"2";"9";"2"
"2017-09-19 09:08:00";"512";"38";"4087";"43.678001";"-79.442932";"0101000020E6100000859675FF58DC53C0E1D39CBCC8D64540";"2";"9";"2"
"2017-09-25 09:22:40";"512";"5";"4184";"43.684734";"-79.415283";"0101000020E61000006DE525FF93DA53C0C93A1C5DA5D74540";"2";"9";"1"
